Name,ISO3166-1-Alpha-2,Type,Tags,Color,Yield,Source,Date
Abbey Malt,DE,Grain,basemalt,17,33,Brewer's Friend,2016-08-17
Acidulated Malt,DE,Grain,,3.4,27,Brewer's Friend,2016-08-17
Ale Malt,IE,Grain,basemalt,3,37,Brewer's Friend,2016-08-17
Amber,UK,Grain,basemalt,27,32,Brewer's Friend,2016-08-17
Aromatic,BE,Grain,roastedmalt,38,33,Brewer's Friend,2016-08-17
Aromatic Malt,US,Grain,basemalt,20,35,Brewer's Friend,2016-08-17
Ashbourne Mild,US,Grain,basemalt,5.3,30,Brewer's Friend,2016-08-17
Belgian Candi Sugar - Amber/Brown (60L),,Sugar,,60,38,Brewer's Friend,2016-08-17
Belgian Candi Sugar - Clear/Blond (0L),,Sugar,,0,38,Brewer's Friend,2016-08-17
Belgian Candi Sugar - Dark (275L),,Sugar,,275,38,Brewer's Friend,2016-08-17
Belgian Candi Syrup - Amber (40L),,Sugar,,40,32,Brewer's Friend,2016-08-17
Belgian Candi Syrup - Clear (0L),,Sugar,,0,32,Brewer's Friend,2016-08-17
Belgian Candi Syrup - D-180,,Sugar,,180,32,Brewer's Friend,2016-08-17
Belgian Candi Syrup - D-45,,Sugar,,45,32,Brewer's Friend,2016-08-17
Belgian Candi Syrup - D-90,,Sugar,,90,32,Brewer's Friend,2016-08-17
Belgian Candi Syrup - D2 (160L),,Sugar,,160,32,Brewer's Friend,2016-08-17
Belgian Candi Syrup - Dark (80L),,Sugar,,80,32,Brewer's Friend,2016-08-17
Biscuit,BE,Grain,roastedmalt,23,35,Brewer's Friend,2016-08-17
Black Barley,US,Grain,roastedmalt,530,27,Brewer's Friend,2016-08-17
Black Malt,US,Grain,roastedmalt,500,28,Brewer's Friend,2016-08-17
Black Malt,FI,Grain,roastedmalt,526,30,Brewer's Friend,2016-08-17
Black Patent,UK,Grain,roastedmalt,525,27,Brewer's Friend,2016-08-17
Blackprinz,US,Grain,roastedmalt,500,36,Brewer's Friend,2016-08-17
Bohemian Pilsner,DE,Grain,basemalt,1.9,38,Brewer's Friend,2016-08-17
Bonlander Munich,US,Grain,basemalt,10,36,Brewer's Friend,2016-08-17
Brown,,Grain,roastedmalt,65,32,Brewer's Friend,2016-08-17
Brown Rice Syrup,,Sugar,glutenfree,2,44,Brewer's Friend,2016-08-17
Brown Sugar,,Sugar,,15,45,Brewer's Friend,2016-08-17
Buckwheat Malt,,Grain,glutenfree,2,25,Brewer's Friend,2016-08-17
Cane Sugar,,Sugar,,0,46,Brewer's Friend,2016-08-17
Cara 20L,BE,Grain,crystalmalt,22,34,Brewer's Friend,2016-08-17
Cara 45L,BE,Grain,crystalmalt,42,34,Brewer's Friend,2016-08-17
Cara Malt,UK,Grain,crystalmalt,17.5,35,Brewer's Friend,2016-08-17
Cara Pale,FI,Grain,crystalmalt,4,35,Brewer's Friend,2016-08-17
Cara Plus 100,FI,Grain,crystalmalt,38,35,Brewer's Friend,2016-08-17
Cara Plus 150,FI,Grain,crystalmalt,57,35,Brewer's Friend,2016-08-17
Cara Plus 200,FI,Grain,crystalmalt,76,35,Brewer's Friend,2016-08-17
Cara Plus 250,FI,Grain,crystalmalt,94,35,Brewer's Friend,2016-08-17
CaraAmber,DE,Grain,crystalmalt,23,34,Brewer's Friend,2016-08-17
CaraAroma,DE,Grain,crystalmalt,130,34,Brewer's Friend,2016-08-17
CaraBelge,DE,Grain,crystalmalt,13.6,33,Brewer's Friend,2016-08-17
CaraBohemian,DE,Grain,crystalmalt,75,33,Brewer's Friend,2016-08-17
CaraBrown,US,Grain,roastedmalt,55,34,Brewer's Friend,2016-08-17
CaraCrystal Wheat Malt,US,Grain,crystalmalt,55,34,Brewer's Friend,2016-08-17
Carafa I,DE,Grain,roastedmalt,340,32,Brewer's Friend,2016-08-17
Carafa II,DE,Grain,roastedmalt,425,32,Brewer's Friend,2016-08-17
Carafa III,DE,Grain,roastedmalt,535,32,Brewer's Friend,2016-08-17
CaraFoam,DE,Grain,crystalmalt,1.8,37,Brewer's Friend,2016-08-17
CaraHell,DE,Grain,crystalmalt,11,34,Brewer's Friend,2016-08-17
Caramel / Crystal 10L,US,Grain,crystalmalt,10,35,Brewer's Friend,2016-08-17
Caramel / Crystal 120L,US,Grain,crystalmalt,120,33,Brewer's Friend,2016-08-17
Caramel / Crystal 150L,US,Grain,crystalmalt,150,33,Brewer's Friend,2016-08-17
Caramel / Crystal 15L,US,Grain,crystalmalt,15,35,Brewer's Friend,2016-08-17
Caramel / Crystal 20L,US,Grain,crystalmalt,20,35,Brewer's Friend,2016-08-17
Caramel / Crystal 30L,US,Grain,crystalmalt,30,34,Brewer's Friend,2016-08-17
Caramel / Crystal 40L,US,Grain,crystalmalt,40,34,Brewer's Friend,2016-08-17
Caramel / Crystal 60L,US,Grain,crystalmalt,60,34,Brewer's Friend,2016-08-17
Caramel / Crystal 75L,US,Grain,crystalmalt,75,33,Brewer's Friend,2016-08-17
Caramel / Crystal 80L,US,Grain,crystalmalt,80,33,Brewer's Friend,2016-08-17
Caramel / Crystal 90L,US,Grain,crystalmalt,90,33,Brewer's Friend,2016-08-17
Caramel Pils,BE,Grain,crystalmalt,8,34,Brewer's Friend,2016-08-17
Caramel Pils,DE,Grain,crystalmalt,2.4,35,Brewer's Friend,2016-08-17
Caramel Wheat,DE,Grain,crystalmalt,46,34,Brewer's Friend,2016-08-17
CaraMunich,BE,Grain,crystalmalt,50,33,Brewer's Friend,2016-08-17
CaraMunich I,DE,Grain,crystalmalt,39,34,Brewer's Friend,2016-08-17
CaraMunich II,DE,Grain,crystalmalt,46,34,Brewer's Friend,2016-08-17
CaraMunich III,DE,Grain,crystalmalt,57,34,Brewer's Friend,2016-08-17
Carapils,DE,Grain,crystalmalt,1.3,35,Brewer's Friend,2016-08-17
Carapils (Dextrine Malt),US,Grain,crystalmalt,1.8,33,Brewer's Friend,2016-08-17
CaraRed,DE,Grain,crystalmalt,20,34,Brewer's Friend,2016-08-17
Carastan (30/37),UK,Grain,crystalmalt,34,35,Brewer's Friend,2016-08-17
Carastan Light (15L),UK,Grain,crystalmalt,15,35,Brewer's Friend,2016-08-17
CaraVienne,BE,Grain,crystalmalt,20,34,Brewer's Friend,2016-08-17
Chocolate,US,Grain,roastedmalt,350,29,Brewer's Friend,2016-08-17
Chocolate,BE,Grain,roastedmalt,340,30,Brewer's Friend,2016-08-17
Chocolate,UK,Grain,roastedmalt,425,34,Brewer's Friend,2016-08-17
Chocolate Malt,FI,Grain,roastedmalt,338,31,Brewer's Friend,2016-08-17
