Name,ISO3166-1-Alpha-2,Average-Alpha-Acids,Common-Usage,Source,Date
Admiral,,13.5,Bittering,Brewer’s Friend,2016-08-22
Ahtanum,,5.4,Bittering,Brewer’s Friend,2016-08-22
Amarillo,,8.9,Bittering,Brewer’s Friend,2016-08-22
Apollo,,18.7,Bittering,Brewer’s Friend,2016-08-22
Aurora,,8.2,Bittering,Brewer’s Friend,2016-08-22
B. C. Goldings,,5.1,Bittering,Brewer’s Friend,2016-08-22
Banner,,13.1,Bittering,Brewer’s Friend,2016-08-22
Bramling Cross,,6.6,Bittering,Brewer’s Friend,2016-08-22
Bravo,,14.9,Bittering,Brewer’s Friend,2016-08-22
Brewer’s Gold,,8.9,Bittering,Brewer’s Friend,2016-08-22
Bullion,,7.6,Bittering,Brewer’s Friend,2016-08-22
Calypso,,13.5,Bittering,Brewer’s Friend,2016-08-22
Cascade,,6.8,Bittering,Brewer’s Friend,2016-08-22
Centennial,,9.5,Aroma,Brewer’s Friend,2016-08-22
Challenger,,8,Bittering,Brewer’s Friend,2016-08-22
Chinook,,12.6,Bittering,Brewer’s Friend,2016-08-22
Citra,,11.7,Bittering,Brewer’s Friend,2016-08-22
Cluster,,6.7,Bittering,Brewer’s Friend,2016-08-22
Columbia,,9.4,Bittering,Brewer’s Friend,2016-08-22
Columbus,,14.6,Bittering,Brewer’s Friend,2016-08-22
Comet,,10.9,Bittering,Brewer’s Friend,2016-08-22
Crystal,,4.1,Aroma,Brewer’s Friend,2016-08-22
Domestic Hallertau,,4.2,Bittering,Brewer’s Friend,2016-08-22
East Kent Goldings,,5.2,Bittering,Brewer’s Friend,2016-08-22
Eroica,,12,Bittering,Brewer’s Friend,2016-08-22
Falconer’s Flight,,10.4,Bittering,Brewer’s Friend,2016-08-22
First Gold,,7.4,Bittering,Brewer’s Friend,2016-08-22
Fuggles,,4.6,Bittering,Brewer’s Friend,2016-08-22
Galena,,12.9,Bittering,Brewer’s Friend,2016-08-22
Glacier,,5.6,Bittering,Brewer’s Friend,2016-08-22
Goldings,,4.8,Bittering,Brewer’s Friend,2016-08-22
Hallertau Hersbrucker,,4,Bittering,Brewer’s Friend,2016-08-22
Hallertau Mittelfruh,,4.1,Bittering,Brewer’s Friend,2016-08-22
Hersbrucker,,3.6,Bittering,Brewer’s Friend,2016-08-22
Horizon,,12.1,Bittering,Brewer’s Friend,2016-08-22
Huller Bitterer,,5.8,Bittering,Brewer’s Friend,2016-08-22
Kent Goldings,,5.2,Bittering,Brewer’s Friend,2016-08-22
Liberty,,4.3,Bittering,Brewer’s Friend,2016-08-22
Lublin,,3.3,Bittering,Brewer’s Friend,2016-08-22
Magnum,,14.4,Bittering,Brewer’s Friend,2016-08-22
Millenium,,15.4,Bittering,Brewer’s Friend,2016-08-22
