Short_Name,Full_Name,ISO3166-1-Alpha-2,URI
Agrária,Agrária Maltes,BR,http://www.agraria.com.br
BESTMALZ,BESTMALZ AG,DE,http://www.bestmalz.de
Briess,Briess Malt & Ingredients Co.,US,http://www.briess.com
Canada Malting,Canada Malting Co. Limited,CA,http://www.canadamalting.com
Cargill,Cargill Inc.,US,http://www.cargill.com
Castle Malting,Castle Malting,BE,http://www.castlemalting.com
Crisp,Crisp Malting Group,GB,http://www.crispmalt.co
Dingemans,Mouterij Dingemans NV,BE,http://www.dingemansmout.be
Gambrinus,Gambrinus Malting Corporation,CA,http://www.gambrinusmalting.com
Great Western,Great Western Malting Co.,CA,http://www.greatwesternmalting.com
Maltexco,Maltexco S.A.,CL,http://www.maltexco.com
Malting Company,Malting Company of Ireland Ltd.,IE,http://www.maltingcompany.ie
Muntons,Muntons Malted Ingredients Inc.,GB,http://www.muntons-inc.com
Pioneer,Pioneer Malting Inc.,US,http://pioneermalting.com
Prozyn,Prozyn Bio Solutions,BR,http://www.prozyn.com.br
Queen City, Queen City Malting,US,http://www.queencitymalting.com
Rahr,Rahr Malting Corporation,US,http://www.rahr.com
Schill Malz,Schill Malz GmbH & Co. KG,DE,http://www.schillmalz.com
Simpsons Malt,Simpsons Malt Limited,GB,http://www.simpsonsmalt.co.uk
Skagit,Skagit Valley Malting,US,http://skagitvalleymalting.com
The Swaen,The Swaen,NL,http://theswaen.com
Weyermann,Weyermann Malzfabrik,DE,http://www.weyermann.de
